ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO
431082,1,17.06.2019,23.04.2019,,0,,,,"Ni katastrskega vpisa. Prodaja se stanovanje št. 31, v velikosti 128,1 m2 v  9. nadstropju stavbe št. 1038 na parc. št. 36/1 in shramba št. 62, v velikosti     3,5 m2.",0,15.04.2025,01.03.2021,1,2,2021
528114,1,11.02.2021,19.01.2021,83500,0,,,,,,15.04.2025,11.02.2021,1,2,2021
526924,1,10.02.2021,16.10.2010,700,0,,,,,,10.02.2021,10.02.2021,1,4,2021
546668,1,11.07.2021,09.06.2021,130000,0,,,,,,15.04.2025,11.07.2021,1,2,2021
540878,1,10.06.2021,09.04.2021,17900,0,,,,,,15.04.2025,10.06.2021,1,2,2021
537665,1,11.05.2021,03.11.2020,10000,0,,,,,,15.04.2025,11.05.2021,1,2,2021
536571,1,10.05.2021,23.03.2021,145.87,0,,,,,,15.04.2025,10.05.2021,1,3,2021
529004,1,26.02.2021,03.07.2019,105325.28,1,3,,,,,15.04.2025,26.02.2021,1,2,2021
558163,3,10.10.2021,28.05.2021,33500,0,,,,,,15.04.2025,10.10.2021,1,3,2021
553916,1,10.09.2021,21.06.2021,14500,0,,,,,,15.04.2025,10.09.2021,1,2,2021
548259,1,06.08.2021,29.06.2021,175000,1,3,,,,,15.04.2025,06.08.2021,1,2,2021
547430,2,12.07.2021,24.06.2021,7502,0,,,,,,15.04.2025,12.07.2021,1,2,2021
