ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO
675093,1982,ŠUJICA,LJUBLJANA,311/3,6,,,1/1,,236,,,457695.52,100980.07,2024
675093,1982,ŠUJICA,LJUBLJANA,313/43,5,,,1/1,,1905,,,457692.5,101014.15,2024
675094,2636,BEŽIGRAD,LJUBLJANA,1082,5,,,1/1,,525,,,462388.46,102976.28,2024
675094,2636,BEŽIGRAD,LJUBLJANA,1083,6,,,1/1,,458,,,462391.26,102997.81,2024
675097,1770,KAŠELJ,LJUBLJANA,2242/6,5,,,1/1,,903,,,468422.45,101222.02,2024
675097,1770,KAŠELJ,LJUBLJANA,2250/75,6,,,1/1,,901,,,468425.43,101187.04,2024
675098,1753,VIŽMARJE,LJUBLJANA,571/10,5,,,1/1,,1250,,,458424.8,107866.58,2024
675098,1753,VIŽMARJE,LJUBLJANA,571/12,6,,,1/1,,380,,,458426.75,107843.98,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,300/13,5,,,252/10000,,27,,,563409.06,160032.76,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/39,5,,,84/10000,,12,,,563350.34,160141.66,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/37,5,,,84/10000,,983,,,563412.39,160068.37,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,300/17,5,,,84/10000,,7,,,563423.22,160016.74,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/33,5,,,84/10000,,112,,,563338.11,160129.93,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/34,5,,,84/10000,,985,,,563377.2,160058.42,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/35,5,,,42/10000,,778,,,563347.86,160083.2,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/36,5,,,32/10000,,205,,,563434.33,160019.78,2024
392665,532,LENART V SLOVENSKIH GORICAH,LENART,307/38,5,,,32/10000,,768,,,563403.07,160094.05,2024
648011,1310,NOVA VAS,BREŽICE,2047/1,5,,,1/1,,7900,,,552536.78,78379.02,2024
675119,1771,ZADOBROVA,LJUBLJANA,573/4,5,,,1/1,,590,,,467716.81,102759.02,2024
675119,1771,ZADOBROVA,LJUBLJANA,573/5,5,,,1/1,,182,,,467713.72,102784.85,2024
675119,1771,ZADOBROVA,LJUBLJANA,573/7,5,,,1/1,,729,,,467714.91,102776.89,2024
660046,884,FARNA VAS,PREVALJE,147/5,1,,,1/1,,15,,,493959.48,156612.71,2024
660046,884,FARNA VAS,PREVALJE,147/6,1,,,1/1,,282,,,493950.79,156609.23,2024
660046,884,FARNA VAS,PREVALJE,147/9,1,,,1/1,,308,,,493959.99,156516.78,2024
660046,884,FARNA VAS,PREVALJE,148/8,1,,,1/1,,86,,,493950.02,156597.93,2024
671135,2319,BUKOVICA,RENČE-VOGRSKO,528/7,5,,,1/1,,574,,,397172.64,85772.35,2024
671135,2319,BUKOVICA,RENČE-VOGRSKO,528/19,5,,,1/1,,139,,,397137.13,85659.71,2024
678631,1075,OSTROŽNO,CELJE,895/13,5,,,1/1,,17,,,518941.99,123653.31,2024
678631,1075,OSTROŽNO,CELJE,906/92,5,,,1/1,,63,,,518991.28,123628.84,2024
